Generacion,Tiempo
1,0.073340416
2,0.116098166
3,0.159027576
4,0.19428587
5,0.241754532
6,0.290765524
7,0.33419776
8,0.378196239
9,0.420212507
10,0.46103406
11,0.505187273
12,0.548358202
13,0.591931105
14,0.645665646
15,0.719296932
16,0.788374186
17,0.88457942
18,0.971327543
19,1.079989672
20,1.117212296
21,1.157903194
22,1.199940443
23,1.236508131
24,1.277561903
25,1.321200609
26,1.362954855
27,1.399381399
28,1.440452814
29,1.482340813
30,1.52816081
31,1.571655989
32,1.612103939
33,1.653273344
34,1.692762852
35,1.734214783
36,1.773188353
37,1.804130316
38,1.840657711
39,1.882655382
40,1.921000481
41,1.957898378
42,1.999967098
43,2.036425591
44,2.077016115
45,2.12116456
46,2.167258024
47,2.216028214
48,2.293163776
49,2.363942623
50,2.453566551
51,2.520065069
52,2.576370239
53,2.67343688
54,2.745938301
55,2.816192865
56,2.891223192
57,3.140325546
58,3.242260695
59,3.326117754
60,3.376381397
61,3.433285236
62,3.475749016
63,3.52491045
64,3.577475071
65,3.6294806
66,3.684006929
67,3.727443457
68,3.771363735
69,3.81300807
70,3.85552907
71,3.997007132
72,4.043721437
73,4.091989994
74,4.145377398
75,4.202298641
76,4.260545492
77,4.308966875
78,4.359884501
79,4.389912605
80,4.421202183
81,4.455293655
82,4.49606514
83,4.544324398
84,4.592885733
85,4.639270306
86,4.684849501
87,4.73264575
88,4.801837444
89,4.85124135
90,4.899424553
91,4.961219788
92,5.019016981
93,5.070794821
94,5.120975018
95,5.187866926
96,5.23125124
97,5.277908325
98,5.312922955
99,5.356938124
100,5.411072969
101,5.458949566
102,5.493048668
103,5.560539007
104,5.606749773
105,5.655723333
106,5.704349041
107,5.752566099
108,5.797474623
109,5.852992058
110,5.893221617
111,5.936233282
112,5.998192549
113,6.052389383
114,6.106594801
115,6.144101381
116,6.190990686
117,6.24501586
118,6.309093952
119,6.36687088
120,6.41903758
121,6.461008072
122,6.500878096
123,6.546999931
124,6.596287012
125,6.652825356
126,6.691606283
127,6.738155842
128,6.78715229
129,6.834966421
130,6.87604332
131,6.926031828
132,6.986890316
133,7.02993536
134,7.080412865
135,7.156177759
136,7.213952303
137,7.257889748
138,7.311051369
139,7.35398078
140,7.421789169
141,7.468054533
142,7.514126539
143,7.562266588
144,7.61030817
145,7.657004118
146,7.706062794
147,7.749334097
148,7.803578377
149,7.857447386
150,7.897315264
151,7.936836004
152,7.985967398
153,8.031856298
154,8.072005033
155,8.115033388
156,8.175448656
157,8.230917215
158,8.277916431
159,8.326864958
160,8.384469032
161,8.436192274
162,8.478331804
163,8.519102335
164,8.560000896
165,8.596007109
166,8.640151262
167,8.683926582
168,8.741044521
169,8.788272858
170,8.827070951
171,8.864329815
172,8.907811165
173,8.970864534
174,9.017760038
175,9.06174922
176,9.120149851
177,9.179879189
178,9.224797726
179,9.290603876
180,9.339411497
181,9.3823874
182,9.438912868
183,9.491097927
184,9.538279772
185,9.58690238
186,9.629894733
187,9.683894396
188,9.736142397
189,9.789633751
190,9.836007118
191,9.891905546
192,9.939864874
193,9.980404854
194,10.02796817
195,10.08059216
196,10.13130093
197,10.18090081
198,10.22738481
199,10.27530169
200,10.32429194
201,10.37100983
202,10.41672349
203,10.46118712
204,10.50907946
205,10.5589993
206,10.60518789
207,10.65285516
208,10.70227981
209,10.74480724
210,10.78608131
211,10.83106184
212,10.87726641
213,10.92628193
214,10.98015642
215,11.03398967
216,11.0780375
217,11.11970615
218,11.16814518
219,11.21196103
220,11.25411105
221,11.29193807
222,11.33884263
223,11.38993359
224,11.43510318
225,11.47567487
226,11.52593946
227,11.57196879
228,11.62194419
229,11.66286349
230,11.7120285
231,11.75645757
232,11.79981494
233,11.84693384
234,11.88994741
235,11.93780661
236,11.97786307
237,12.02279663
238,12.06400275
239,12.11373234
240,12.16122007
241,12.20124006
242,12.24196863
243,12.28709388
244,12.3335731
245,12.37516284
246,12.42719817
247,12.47312164
248,12.52101755
249,12.55904698
250,12.6069994
251,12.65099502
252,12.69620776
253,12.73854899
254,12.78286552
255,12.83391118
256,12.8753581
257,12.92600894
258,12.97598982
259,13.01891828
260,13.05592346
261,13.10412288
262,13.14903545
263,13.19602537
264,13.24803686
265,13.29405975
266,13.3479588
267,13.39797997
268,13.45183611
269,13.49164033
270,13.55219364
271,13.62172675
272,13.6552043
273,13.69517326
274,13.7320962
275,13.77243972
276,13.80461001
277,13.84883356
278,13.89569259
279,13.941957
280,13.98419261
281,14.02907252
282,14.07381964
283,14.11841774
284,14.16684151
285,14.20815253
286,14.2519958
287,14.30015278
288,14.34409904
289,14.39535522
290,14.44620943
291,14.48884821
292,14.53813148
293,14.57891035
294,14.62312055
295,14.66991901
296,14.71835041
297,14.76437283
298,14.80686331
299,14.86405945
300,14.90793514
301,14.95190907
302,15.00186658
303,15.05089927
304,15.10032082
305,15.15027595
306,15.20234036
307,15.24681902
308,15.28806138
309,15.33389854
310,15.37699008
311,15.42852569
312,15.47820377
313,15.52084684
314,15.57596636
315,15.63789463
316,15.68032074
317,15.73411107
318,15.77752638
319,15.82282352
320,15.87656689
321,15.91746473
322,15.96004796
323,16.00316978
324,16.04606223
325,16.08797002
326,16.14143538
327,16.18608451
328,16.23595929
329,16.28693509
330,16.33561206
331,16.3791883
332,16.42339897
333,16.46784329
334,16.51221204
335,16.56086731
336,16.6141696
337,16.65950751
338,16.70875645
339,16.75707483
340,16.80189991
341,16.84594893
342,16.89107108
343,16.94184947
344,16.99658227
345,17.04349828
346,17.10111594
347,17.16330528
348,17.23251867
349,17.28798223
350,17.33192945
351,17.38639832
352,17.44405866
353,17.49349284
354,17.5440259
355,17.59589815
356,17.6433692
357,17.68596745
358,17.73041201
359,17.77587032
360,17.82377243
361,17.87024474
362,17.90849113
363,17.95883489
364,18.00412583
365,18.05196929
366,18.10332608
367,18.14601755
368,18.19981384
369,18.24031091
370,18.28791618
371,18.32677507
372,18.37461853
373,18.41056919
374,18.44516277
375,18.48174119
376,18.53428483
377,18.57959509
378,18.63088298
379,18.68018889
380,18.73500299
381,18.7805934
382,18.82615805
383,18.87255049
384,18.92945576
385,19.01787686
386,19.06921649
387,19.11089516
388,19.17836022
389,19.23357964
390,19.2914989
391,19.32897878
392,19.37397814
393,19.41940761
394,19.47697186
395,19.52703214
396,19.58022189
397,19.64389849
398,19.70143509
399,19.77196193
400,19.8203156
401,19.87084532
402,19.93882632
403,19.9879806
404,20.03510118
405,20.08496594
406,20.12983918
407,20.17216444
408,20.21999717
409,20.26592088
410,20.31135964
411,20.36087561
412,20.4039135
413,20.44223166
414,20.49094319
415,20.53657222
416,20.5802815
417,20.61793542
418,20.65747929
419,20.70882225
420,20.75233293
421,20.79546618
422,20.84317708
423,20.88601279
424,20.93790007
425,20.99098349
426,21.05587173
427,21.1083076
428,21.14881015
429,21.19580173
430,21.24430227
431,21.29410267
432,21.33807278
433,21.38017058
434,21.42804265
435,21.47171426
436,21.5182395
437,21.56215453
438,21.61187768
439,21.65603328
440,21.72298408
441,21.77997518
442,21.83149529
443,21.87627459
444,21.9222188
445,21.96790385
446,22.01584768
447,22.05597639
448,22.11232519
449,22.15846109
450,22.2044158
451,22.24947882
452,22.29909897
453,22.34439039
454,22.38972425
455,22.4390676
456,22.48344755
457,22.52966261
458,22.57589746
459,22.62529206
460,22.66241121
461,22.70436597
462,22.73855782
463,22.77198339
464,22.81004262
465,22.85856152
466,22.90779996
467,22.95922089
468,23.00571966
469,23.05219293
470,23.11187553
471,23.15083313
472,23.1875062
473,23.23900557
474,23.29286122
475,23.35601974
476,23.40209842
477,23.44857073
478,23.49274683
479,23.53723407
480,23.58185434
481,23.62584853
482,23.66876507
483,23.72514033
484,23.76907039
485,23.80909562
486,23.85800004
487,23.90770841
488,23.95692253
489,23.99295259
490,24.03147864
491,24.07601643
492,24.1176815
493,24.16133308
494,24.20800114
495,24.2527287
496,24.29530692
497,24.34501553
498,24.39591765
499,24.44488215
500,24.48689103
